0000000025##34301##Grupa 1#Txvalxfqa, Ctezn#Primijenjeni elektromagnetizam#3
0000000025##34313##Grupa 1#Txvalxfqa, Ctezn#Automatsko upravljanje#3
0000000025##34314##Grupa 3#Txvalxfqa, Ctezn#Komunikacijski sustavi#3
0000000026##34301##Grupa 1#Uiozk, Gobupkbx#Primijenjeni elektromagnetizam#3
0000000026##34313##Grupa 3#Uiozk, Gobupkbx#Automatsko upravljanje#3
0000000026##34314##Grupa 4#Uiozk, Gobupkbx#Komunikacijski sustavi#3
0000000026##34315##Grupa 4#Uiozk, Gobupkbx#Teorija informacije#3
0000000027##31486##Grupa 3#Okpes, Sjrfg#Matematika 3E#2
0000000027##31489##Grupa 3#Okpes, Sjrfg#Električni krugovi#2
0000000027##34316##Grupa 1#Okpes, Sjrfg#Elektromehanički sustavi#2
0000000028##34299##Grupa 1#Dubgzeq, Ybebjgh#Elektronika 2#3
0000000028##34301##Grupa 1#Dubgzeq, Ybebjgh#Primijenjeni elektromagnetizam#3
0000000028##34315##Grupa 1#Dubgzeq, Ybebjgh#Teorija informacije#3
0000000029##19670##Grupa 3#Wdnrig, Gwkpsgka#Matematika 1#1
0000000029##19671##Grupa 1#Wdnrig, Gwkpsgka#Laboratorij i vještine - Mathematica#1
0000000029##19672##Grupa 1#Wdnrig, Gwkpsgka#Osnove elektrotehnike#1
0000000029##19674##Grupa 2#Wdnrig, Gwkpsgka#Digitalna logika#1
0000000029##19676##Grupa 4#Wdnrig, Gwkpsgka#Programiranje i programsko inženjerstvo#1
0000000029##19678##Grupa 2#Wdnrig, Gwkpsgka#Vještine komuniciranja#1
0000000029##21013##Grupa 1#Wdnrig, Gwkpsgka#Tjelesna i zdravstvena kultura 1#1
0000000030##34299##Grupa 1#Capdgfxoe, Thsyzxi#Elektronika 2#3
0000000031##34315##Grupa 5#Mwabumi, Vpldvfjn#Teorija informacije#3
0000000031##37834##Grupa 1#Mwabumi, Vpldvfjn#Projekt#3
0000000032##34362##Grupa 1#Aydxkflio, Ootoogb#Upravljanje elektromotornim pogonima#2
0000000032##34383##Grupa 1#Aydxkflio, Ootoogb#Mehatronički sustavi#2
0000000032##34390##Grupa 1#Aydxkflio, Ootoogb#Teorija električnih strojeva i transformatora#2
0000000032##34400##Grupa 1#Aydxkflio, Ootoogb#Dijagnostika i monitoring strojeva i pogona#2
